IRO_INSTITUTION,PERSON_UID,ID_NUMBER,AGE,CITIZENSHIP_DESC,ETHNICITY,ETHNICITY_DESC,IS_WHITE,GENDER,IS_NON_BINARY,HAWAIIAN_IRO,DEGREE,DEPARTMENT,EDLVL_IRO,FT_PT_STAT,MAJOR_IRO,MAJOR_DESC_IRO,PROGRAM,PROGRAM_DESC
MAN,1847345,24983542,22,US Citizen,VI,Vietnamese,0,F,1,N,BS,CHEM,SR,FT,BIOC,Biochemistry,BIOC-BS,Biochemistry-BS
MAN,1854834,25057573,20,US Citizen,MX,Mixed Race (2 or more),0,F,1,N,BA,SLSC,SR,FT,BIOL,Biology,BIOL-BA,Biology-BA
WOA,1858545,25094002,20,US Citizen,JP,Japanese,0,M,1,N,BS,MNHS,JR,PT,NSCI,Natural Science,BS-NSCI-LFSC,BS-Natural Science-LifeScience
MAN,1842212,24932629,21,US Citizen,FI,Filipino,0,F,1,N,BS,ICS,SR,FT,CSCI,Computer Science,CSCI-BS,Computer Science-BS
MAN,1845162,24962229,20,US Citizen,CA,Caucasian or White,1,F,1,N,BS,ME,JR,FT,ME,Mechanical Engineering,ME-BS,Mechanical Engineering-BS
MAN,1861015,25118961,21,US Citizen,JP,Japanese,0,M,1,N,BS,ICS,SR,FT,CSCI,Computer Science,CSCI-BS,Computer Science-BS
MAN,1861040,25119067,21,US Citizen,HW,Native Hawaiian or Part-Hawn,0,M,1,Y,BA,SLSC,SR,FT,BOT,Botany,BOT-BA,Botany-BA
MAN,1867214,25188329,22,US Citizen,HW,Native Hawaiian or Part-Hawn,0,F,1,Y,BA,ACM,JR,FT,CM,Creative Media,CM-BA,Creative Media-BA
MAN,1843426,24944496,19,US Citizen,CH,Chinese,0,F,1,N,BS,MBBE,JR,FT,MBB,Molecular Biosciences &Biotech,MBB-BS,MolecularBioscience&Biotech-BS
HIL,1615685,22592099,23,US Citizen,HW,Native Hawaiian or Part-Hawn,0,F,1,Y,BS,GEOL,SR,FT,GEOL,Geology,BS-GEOL1,Geology-BS
MAN,1598311,22405128,28,US National or CFAS Citizen,SA,Samoan,0,M,1,Y,BS,CEE,SR,FT,CE,Civil Engineering,CE-BS,Civil Engineering-BS
WOA,1703003,23514894,24,US Citizen,MA,Mixed Asian,0,F,1,N,BA,ACMW,SR,PT,CM,Creative Media,BA-CM-GCM,BA-Creative Media-GCM
MAN,1897449,25480544,20,US Citizen,MA,Mixed Asian,0,F,1,N,BA,ACM,SR,FT,CM,Creative Media,CM-BA,Creative Media-BA
MAN,1919262,25695183,21,Resident Alien,FI,Filipino,0,F,1,N,BS,ME,SR,FT,ME,Mechanical Engineering,ME-BS,Mechanical Engineering-BS
MAN,1996169,26472481,20,US Citizen,HW,Native Hawaiian or Part-Hawn,0,F,1,Y,BS,HNFA,JR,FT,ANSC,Animal Sciences,ANSC-BS,Animal Sciences-BS
MAN,1882564,25333671,20,Resident Alien,HW,Native Hawaiian or Part-Hawn,0,F,1,Y,BS,ICS,SR,FT,CSCI,Computer Science,CSCI-BS,Computer Science-BS
HIL,1869407,25200929,22,US Citizen,CA,Caucasian or White,1,F,1,N,BS,NATS,SR,PT,MARE,Marine Science,BS-MARE,Marine Science-BS
HIL,2032444,26839361,20,US Citizen,HW,Native Hawaiian or Part-Hawn,0,M,1,Y,BS,ASTR,JR,FT,ASTR,Astronomy,BS-ASTR1,Astronomy-BS
MAN,2032447,26839390,56,US Citizen,KO,Korean,0,M,1,N,BS,SLSC,JR,PT,BIOL,Biology,BIOL-BS,Biology-BS
MAN,2031147,26825407,20,US Citizen,CA,Caucasian or White,1,F,1,N,BS,SLSC,JR,PT,BIOL,Biology,BIOL-BS,Biology-BS
WOA,1802074,24528102,22,US Citizen,FI,Filipino,0,M,1,N,BA,ACMW,SR,FT,CM,Creative Media,BA-CM-GCM,BA-Creative Media-GCM
HIL,1793001,24441967,21,US Citizen,HW,Native Hawaiian or Part-Hawn,0,F,1,Y,BS,CSCI,SR,FT,CSCI,Computer Science,BS-CSCI1,Computer Science-BS
HIL,1793061,24442346,21,US Citizen,MX,Mixed Race (2 or more),0,M,1,N,BA,MARE,JR,FT,MARE,Marine Science,BA-MARE1,Marine Science-BA
MAN,1785403,24368822,25,US Citizen,CA,Caucasian or White,1,F,1,N,BS,HNFA,SR,PT,ANSC,Animal Sciences,ANSC-BS,Animal Sciences-BS
MAN,1815905,24669280,21,US Citizen,CH,Chinese,0,F,1,N,BA,ACM,JR,PT,CM,Creative Media,CM-BA,Creative Media-BA
MAN,1813668,24646573,21,US Citizen,FI,Filipino,0,F,1,N,BS,SLSC,JR,PT,BIOL,Biology,BIOL-BS,Biology-BS
MAN,1821676,24727408,21,US Citizen,MA,Mixed Asian,0,F,1,N,BS,SLSC,SR,FT,BIOL,Biology,BIOL-BS,Biology-BS
MAN,1824883,24759646,20,US Citizen,KO,Korean,0,F,1,N,BS,CHEM,SR,FT,BIOC,Biochemistry,BIOC-BS,Biochemistry-BS
MAN,1838036,24890843,21,US Citizen,MX,Mixed Race (2 or more),0,F,1,N,BS,OEST,SR,FT,GES,Global Environmental Science,GES-BS,Global Environmental Sci-BS
MAN,1819864,24708927,20,US Citizen,CA,Caucasian or White,1,F,1,N,BS,OEST,SR,FT,GES,Global Environmental Science,GES-BS,Global Environmental Sci-BS
HIL,1714442,23644504,23,US Citizen,MX,Mixed Race (2 or more),0,N,0,N,BA,NATS,SR,FT,BIOL,Biology,BA-BIOL,Biology-BA
MAN,1736191,23874730,23,US Citizen,KO,Korean,0,M,1,N,BS,SLSC,SR,FT,MCB,Molecular & Cell Biology,MCB-BS,Molecular & Cell Biology-BS
MAN,1720399,23711353,49,US Citizen,CA,Caucasian or White,1,M,1,N,BS,MBBE,SR,PT,MBB,Molecular Biosciences &Biotech,MBB-BS,MolecularBioscience&Biotech-BS
MAN,1738421,23896967,22,US Citizen,FI,Filipino,0,F,1,N,BS,EE,SR,PT,EE,Electrical Engineering,EE-BS,Electrical Engineering-BS
MAN,1753996,24053716,22,US Citizen,MX,Mixed Race (2 or more),0,M,1,N,BS,ICS,SR,PT,CSCI,Computer Science,CSCI-BS,Computer Science-BS
MAN,1961906,26125391,24,US Citizen,CA,Caucasian or White,1,F,1,N,BS,SLSC,SR,FT,BOT,Botany,BOT-BS,Botany-BS
MAN,1964193,26147769,29,US Citizen,CA,Caucasian or White,1,F,1,N,BS,EE,SR,FT,CENG,Computer Engineering,CENG-BS,Computer Engineering-BS
HIL,1854805,25057283,22,US Citizen,MX,Mixed Race (2 or more),0,F,1,N,BS,NATS,JR,PT,CSCI,Computer Science,BS-CSCI,Computer Science-BS
MAN,1854818,25057418,20,US Citizen,FI,Filipino,0,F,1,N,BS,ICS,SR,FT,CSCI,Computer Science,CSCI-BS,Computer Science-BS
MAN,1845026,24960992,22,US Citizen,HW,Native Hawaiian or Part-Hawn,0,M,1,Y,BS,ICS,JR,PT,CSCI,Computer Science,CSCI-BS,Computer Science-BS
MAN,1846713,24976941,21,US Citizen,HS,Hispanic,0,F,1,N,BS,OEST,SR,FT,GES,Global Environmental Science,GES-BS,Global Environmental Sci-BS
HIL,81759,10529032,43,US Citizen,HW,Native Hawaiian or Part-Hawn,0,M,1,Y,BS,MARE,SR,FT,MARE,Marine Science,BS-MARE1,Marine Science-BS
MAN,892218,15776031,34,US Citizen,MA,Mixed Asian,0,M,1,N,BS,HNFA,SR,PT,FSHN,Food Science & Human Nutrition,FSHN-BS,Food Sci & Human Nutrition-BS
MAN,1124490,16764892,32,Resident Alien,HS,Hispanic,0,F,1,N,BS,SLSC,SR,PT,BIOL,Biology,BIOL-BS,Biology-BS
MAN,1210179,17135603,50,US Citizen,HW,Native Hawaiian or Part-Hawn,0,M,1,Y,BA,ACM,JR,FT,CM,Creative Media,CM-BA,Creative Media-BA
MAN,1382749,19576760,29,US Citizen,CA,Caucasian or White,1,F,1,N,BA,BIOL,SR,FT,BIOL,Biology,BIOL-BA,Biology-BA
MAN,1635013,22793685,25,US Citizen,JP,Japanese,0,M,1,N,BS,ME,SR,PT,ME,Mechanical Engineering,ME-BS,Mechanical Engineering-BS
MAN,1658253,23038809,25,Resident Alien,CH,Chinese,0,M,1,N,BS,CEE,SR,PT,CE,Civil Engineering,CE-BS,Civil Engineering-BS
MAN,1699462,23476107,23,Resident Alien,FI,Filipino,0,F,1,N,BS,ICS,SR,FT,CSCI,Computer Science,CSCI-BS,Computer Science-BS
MAN,1629833,22754981,25,US Citizen,HW,Native Hawaiian or Part-Hawn,0,M,1,Y,BA,ACM,SR,FT,CM,Creative Media,CM-BA,Creative Media-BA
MAN,1630215,22762070,26,US Citizen,JP,Japanese,0,M,1,N,BS,PA,SR,FT,PHYS,Physics,PHYS-BS,Physics-BS
HIL,1652712,22980985,25,US Citizen,MX,Mixed Race (2 or more),0,M,1,N,BA,MATH,SR,PT,MATH,Mathematics,BA-MATH1,Mathematics-BA
WOA,1663997,23101366,25,US Citizen,MX,Mixed Race (2 or more),0,F,1,N,BA,ACMW,SR,FT,CM,Creative Media,BA-CM-DM,BA-Creative Media-DM
