IRO_INSTITUTION,PERSON_UID,ID_NUMBER,AGE,CITIZENSHIP_DESC,ETHNICITY,ETHNICITY_DESC,IS_WHITE,GENDER,IS_NON_BINARY,HAWAIIAN_IRO,DEGREE,DEPARTMENT,EDLVL_IRO,FT_PT_STAT,MAJOR_IRO,MAJOR_DESC_IRO,PROGRAM,PROGRAM_DESC
HIL,1464367,20989486,27,US Citizen,CA,Caucasian or White,1,F,1,N,BS,GEOL,JR,PT,GEOL,Geology,BS-GEOL1,Geology-BS
WOA,1459546,20939759,28,US Citizen,MX,Mixed Race (2 or more),0,M,1,N,BA,ACMW,JR,PT,CM,Creative Media,BA-CM-GCM,BA-Creative Media-GCM
WOA,1518405,21563960,27,US Citizen,JP,Japanese,0,F,1,N,BA,ACMW,JR,PT,CM,Creative Media,BA-CM-GCM,BA-Creative Media-GCM
MAN,1520163,21582288,23,US Citizen,MA,Mixed Asian,0,F,1,N,BS,OEST,SR,FT,GES,Global Environmental Science,GES-BS,Global Environmental Sci-BS
MAN,1578318,22192342,26,US Citizen,HW,Native Hawaiian or Part-Hawn,0,M,1,Y,BS,PA,SR,PT,PHYS,Physics,PHYS-BS,Physics-BS
HIL,1659353,23219014,24,US Citizen,MX,Mixed Race (2 or more),0,M,1,N,BS,NATS,SR,PT,BIOL,Biology,BS-BIOL,Biology-BS
MAN,1661732,23077778,20,US Citizen,JP,Japanese,0,M,1,N,BS,ICS,SR,FT,CSCI,Computer Science,CSCI-BS,Computer Science-BS
HIL,1688014,23355987,22,US Citizen,HW,Native Hawaiian or Part-Hawn,0,F,1,Y,BA,BIOL,SR,FT,BIOL,Biology,BA-BIOL1,Biology-BA
MAN,1686580,23341347,25,Resident Alien,JP,Japanese,0,M,1,N,BS,EE,SR,FT,EE,Electrical Engineering,EE-BS,Electrical Engineering-BS
MAN,1717597,23679394,23,US Citizen,HW,Native Hawaiian or Part-Hawn,0,F,1,Y,BS,SLSC,SR,PT,BIOL,Biology,BIOL-BS,Biology-BS
MAN,1717737,23681043,23,US Citizen,CA,Caucasian or White,1,F,1,N,BS,SLSC,JR,FT,MB,Marine Biology,MB-BS,Marine Biology-BS
MAN,1717128,23674296,27,US Citizen,MA,Mixed Asian,0,F,1,N,BS,SLSC,SR,FT,BIOL,Biology,BIOL-BS,Biology-BS
MAN,1736837,23881026,21,US Citizen,MA,Mixed Asian,0,M,1,N,BA,SLSC,SR,FT,BIOL,Biology,BIOL-BA,Biology-BA
WOA,1735904,23871861,23,US Citizen,JP,Japanese,0,M,1,N,BA,ACMW,SR,FT,CM,Creative Media,BA-CM-GCM,BA-Creative Media-GCM
MAN,1735974,23873896,22,US Citizen,MA,Mixed Asian,0,M,1,N,BS,EE,SR,FT,EE,Electrical Engineering,EE-BS,Electrical Engineering-BS
MAN,1736263,23875409,23,US Citizen,HW,Native Hawaiian or Part-Hawn,0,M,1,Y,BS,ICS,JR,PT,CSCI,Computer Science,CSCI-BS,Computer Science-BS
